player,team,specific_position,age,market_value,contract_expiration,Matchs joués  ,Minutes jouées  ,goals,xg,birth_country,Passeport pays  ,foot,height,weight,loan
S. Bouftini,Al Wasl,RCB,32.0,1800000,2026-06-30,35,3188,2,4.13,Morocco,Morocco,droite,191,85,non
E. Benabid,Wydad Casablanca,GK,28.0,1800000,2027-06-30,37,3695,0,0.0,Morocco,Morocco,droite,188,80,non
Y. Oukili,Fortuna Sittard,"RCMF, LCMF",25.0,1700000,2028-06-30,21,1020,2,1.96,Netherlands,"Netherlands, Morocco",droite,195,75,non
O. Tannane,Umm Salal,"AMF, CF, RW",32.0,1700000,2026-06-30,28,2582,10,5.6,Morocco,"Morocco, Netherlands",gauche,178,80,non
I. Chaira,Real Oviedo,"LAMF, RAMF, LW",25.0,1600000,2028-06-30,39,2903,7,8.49,Spain,"Spain, Morocco",droite,186,75,non
Y. Namli,PEC Zwolle,"RWF, RW, RAMF",31.0,1600000,2028-06-30,26,1590,2,2.9,Denmark,"Denmark, Morocco",gauche,180,70,non
M. Hrimat,FAR Rabat,"LDMF, LCMF",31.0,1600000,2027-06-30,45,4497,12,11.27,Morocco,Morocco,droite,186,0,non
J. El Yamiq,Real Zaragoza,"RCB, LCB",34.0,1600000,2026-06-30,24,2271,1,2.89,Morocco,Morocco,droite,193,80,non
M. Azarkan,Al Nasr,"RW, RAMF, RWF",24.0,1500000,2026-06-30,14,531,0,0.18,Netherlands,"Netherlands, Morocco",gauche,165,60,non
S. Amallah,Khorfakkan,"CF, AMF",29.0,1500000,2027-06-30,13,993,2,1.4,Belgium,"Belgium, Morocco",droite,185,81,non
W. El Karti,Pyramids,"LDMF, AMF, RDMF",31.0,1500000,2028-06-30,35,2806,3,1.75,Morocco,Morocco,droite,185,77,non
Y. Maziz,OH Leuven,"AMF, LCMF, LWF",27.0,1500000,2026-06-30,38,2450,3,4.99,France,"France, Morocco",droite,175,76,non
Y. Belhanda,Al Sailiya,AMF,36.0,1500000,2026-06-30,18,1213,3,1.41,France,"France, Morocco",droite,175,75,non
F. Moufi,Orenburg,"RB, RWB",30.0,1500000,2027-06-30,27,2521,1,2.4,France,"France, Morocco",droite,179,70,non
B. Benoun,Raja Casablanca,"RCB, LCB",32.0,1400000,,19,1769,0,1.21,Morocco,Morocco,droite,193,79,non
Y. Jabrane,Ajman,"RCMF, LCMF",34.0,1300000,,11,730,0,0.17,Morocco,Morocco,droite,187,0,non
H. Mendyl,Aris,LB,28.0,1300000,2026-06-30,14,939,0,0.07,Morocco,"Morocco, Côte d'Ivoire",gauche,179,73,non
Y. Belammari,Al Ahly,LB,27.0,1300000,2029-06-30,28,2654,0,1.45,Morocco,Morocco,gauche,183,0,non
J. Harkass,Dhamk,RCB,30.0,1200000,2027-06-30,34,3144,2,1.61,Morocco,Morocco,droite,185,0,non
A. Salah-Eddine,PSV,LB,24.0,1200000,2028-06-30,29,2039,0,0.58,Netherlands,"Netherlands, Morocco",gauche,181,70,oui
M. Bourabia,,"AMF, CF",34.0,1000000,,14,1044,1,0.5,France,"France, Morocco",droite,183,73,non
M. Tourraine,Clermont,"RB, LB, RWB",25.0,1000000,2027-06-30,16,587,0,0.62,France,"France, Morocco",droite,172,68,oui
K. El Berkaoui,Al Dhafra,"CF, RAMF",31.0,1000000,2026-06-30,28,2252,13,8.06,Morocco,Morocco,droite,175,68,non
I. Mokadem,Raja Casablanca,"LB, LCB",30.0,1000000,2027-06-30,20,1593,0,1.27,Morocco,Morocco,droite,181,76,non
M. Al Makahasi,Raja Casablanca,"RDMF, LDMF, RCMF",31.0,1000000,2027-06-30,19,1847,0,0.37,Morocco,Morocco,droite,177,0,non
A. Ennaffati,Raja Casablanca,"LAMF, RAMF, RWF",31.0,1000000,2026-06-30,15,1200,6,4.49,Morocco,Morocco,droite,180,0,non
A. Barkok,Raja Casablanca,"RCMF, RDMF, LCMF",28.0,1000000,,11,619,0,0.33,Germany,"Germany, Morocco",droite,189,82,non
M. Chibi,Pyramids,RB,33.0,1000000,2028-06-30,36,3479,2,1.9,Morocco,Morocco,droite,175,72,non
Y. El Motie,Olympic Safi,GK,31.0,1000000,2027-06-30,7,640,0,0.0,Morocco,Morocco,droite,193,0,non
M. El Hankouri,Standard Liège,"AMF, LCMF",28.0,1000000,2027-06-30,17,916,0,0.52,Netherlands,"Netherlands, Morocco",droite,176,63,non
I. Faraj,Neftchi,"LW, LAMF, RW",27.0,900000,2028-06-30,32,2607,7,7.47,France,"France, Morocco",droite,177,64,non
B. Brahimi,Viborg,"RWF, RAMF, RW",26.0,900000,2029-06-30,21,1234,3,1.9,France,"France, Morocco",gauche,177,70,non
F. Fajr,Al Jubail,"AMF, LAMF, LW",37.0,900000,,31,3122,3,3.88,France,"France, Morocco",droite,179,72,non
